date;EscapeRT;FailureRT;NeutralRT;SuccessRT;Vnarc;Gnarc;ShameP;GuiltP;SelfComp;participant;ProlifID;CheckName;Cond;Genre;Age
2020-10-22_10h45.29.004;0.7332;0.875;0.708333333333333;0.5118;-0.598004490933302;-0.0407032459309513;0.772081929348072;0.622820865348195;-1.72455454760537;100;5f04c905e9d8627a4b790811;n;Name;F;31
2020-10-22_10h45.40.991;0.554891;0.895439;0.621146333333333;0.641824;0.397101410949404;0.188147167531827;1.05119800430223;-0.0645778204284232;-1.7145571299381;101;5f5a399e4775590a84ae3f14;y;control;F;23
2020-10-22_10h45.41.110;1.092991;1.053725;0.791331666666667;0.887329;-1.06908671055447;2.6527911990725;-3.9244611005425;-3.2554784426417;-1.70455971227082;102;5f8feb7e455ffe000b23a76a;y;Name;M;24
2020-10-22_10h46.01.003;0.7036;0.7764;0.685666666666667;0.6508;0.513739578629767;-1.25063514020443;0.206985757857576;-0.488534750315105;-1.69456229460354;103;5eb12f8510e0ce205e7b25c7;y;control;F;33
2020-10-22_10h45.44.597;0.582627;0.53844;0.496363333333333;0.498425;0.351040112614148;0.694049940815161;-0.373301741165739;0.537293197483719;-1.68456487693626;104;5bfb295e975ee0000169a15d;y;Name;M;27
2020-10-22_10h46.54.694;0.757205;0.672542;0.657343333333333;0.739871;0.296710315730655;-0.373462421401493;0.399739962174837;0.716589230005966;-1.67456745926899;105;5f11ae10e3411a04c189ae61;y;control;F;18
2020-10-22_10h46.04.633;0.608063;0.672966;0.584467666666667;0.604132;-0.384424201810267;-0.630879897305911;1.41998316053594;1.86264072667066;-1.66457004160171;106;5f36f1a0cca76a1549baf6dc;y;Name;F;35
2020-10-22_10h47.07.985;1.03029;1.254333;0.908113666666667;1.084779;0.0931155967946918;-1.22125743385898;0.969166819145631;-0.752055686295267;-1.65457262393443;108;5e642059211a831a2b490c06;n;Name;F;25
2020-10-22_10h46.28.199;0.470094;0.543082;0.477709;0.517743;2.26262507984602;-0.804165738608959;3.03512914601657;0.979498638848214;-1.64457520626715;110;5e7a223904bdd105201a9a0e;y;Name;F;22
2020-10-22_10h48.54.697;0.895586;1.172297;0.729093666666667;0.99585;0.0230704536506997;1.97092014463568;0.88552548517831;1.03177463034186;-1.63457778859988;111;5efb04364c2ee780008501;n;control;F;33
2020-10-22_10h46.46.865;0.754115;0.999811;0.651480666666667;0.654371;-1.31717184242372;0.0559852689462099;-0.552175022077385;-0.382736668121133;-1.6245803709326;113;5a799309f49c9a0001f31396;y;control;F;23
2020-10-22_10h47.23.656;0.542363;0.526987;0.547215;0.609626;0.0573111395810175;1.19668013370545;-0.406861903591801;-0.223304071658465;-1.61458295326532;114;5d4e97553ffde500189ad8a2;y;Name;M;24
2020-10-22_10h46.56.539;0.755062;0.791844;0.725970666666667;0.683368;-1.59076369781757;0.515791478669621;-0.118927343772019;0.383679252656363;-1.60458553559804;117;5ee3a3d3e1640f03812e4c26;y;control;F;19
2020-10-22_10h47.01.624;0.628176;0.678265;0.629098666666667;0.667078;0.598081386942696;-0.0210583642555981;0.595031855721083;-0.916257908367682;-1.59458811793077;118;5bfd5f1332576700017d16f4;y;Name;M;21
2020-10-22_10h47.13.842;0.659427;0.809739;0.627026666666667;0.640614;-0.0727261280994361;-0.172509938296426;-0.561706865410656;0.353787942635005;-1.58459070026349;121;5f2d915001cfa107181b01d3;y;control;F;21
2020-10-22_10h47.19.763;0.602685;0.792914;0.595182333333333;0.6533;0.281799963700318;-1.13901770507327;0.0306012406515807;0.170570081373324;-1.57459328259621;122;5ee0ebf4507994478d9e69c8;y;Name;F;31
2020-10-22_10h47.16.734;0.563579;0.729948;0.601606;0.653266;-0.694402533525902;0.190223250316228;-1.38606939605953;-0.836232671891993;-1.56459586492893;123;5ee3f235c53c280e4261bcc3;y;control;M;21
2020-10-22_10h47.31.354;0.648787;0.677197;0.575899666666667;0.6325;-0.552459974114144;-1.14544696554029;0.637097826539069;-0.0811101867078816;-1.55459844726165;124;5acca930a3ba7a0001b500fa;y;Name;F;35
2020-10-22_10h48.14.922;0.7958;0.9604;0.744;0.6696;0.332291969980549;0.337260948845298;0.328603739397201;-0.0734981616637285;-1.54460102959438;125;5e25b2ac26d974818086e0ee;y;control;F;34
2020-10-22_10h47.55.245;0.815756;0.728576;0.71429;0.93288;-2.26174332384893;0.0532311112953417;-0.409004013091756;0.762479431391908;-1.5346036119271;127;5e7949a8dafa1e04a1ce49ce;y;control;F;18
2020-10-22_10h47.56.232;0.631044;0.715821;0.648652666666667;0.663245;-0.68331009411306;-0.915783140107582;-0.121156070625287;0.997622465812737;-1.52460619425982;128;5f88a9e10b3478081e131706;y;Name;F;31
2020-10-22_11h48.24.401;0.842713;0.658407;0.670896666666667;0.870303;0.634029333246938;0.0694445526622949;0.775528678064569;1.1512632348934;-1.51460877659254;130;5df8fbb81e2e5867a6920ff8;y;Name;F;25
2020-10-22_10h48.12.442;0.91467;0.983433;0.714277333333333;0.950748;0.725196503172449;1.0317163246686;0.855948005732147;-0.267423444034474;-1.50461135892527;131;5f5a25a24b1d54080b15dd85;y;control;F;31
2020-10-22_10h49.11.680;0.680538;0.54383;0.555957666666667;0.493967;-0.616509774896143;1.57762809957104;-0.751571726929338;-0.889060916600142;-1.49461394125799;132;5f455aa2de4a9712a5cfbb6f;y;Name;F;27
2020-10-22_10h48.25.405;0.584711;0.892646;0.632112;0.616223;1.12864327110825;-0.85313791167693;0.498020270488399;1.03517285589251;-1.48461652359071;133;5f5f66b2c050a00169ba939c;y;control;F;30
2020-10-22_10h48.24.644;0.705631;0.713846;0.771599;0.601943;-0.62378596866961;-0.18899188468029;-0.0199515825346522;0.195077369078975;-1.47461910592343;134;5c707693db12e3000146b16d;y;Name;M;29
2020-10-22_10h50.15.472;1.3122;1.3168;0.963666666666667;1.4386;-1.19650001106363;1.40968048168962;-0.398917296800488;-0.834027055719508;-1.46462168825616;136;5d332ea34007ad00199c3713;y;Name;F;32
2020-10-22_10h48.35.712;0.746348;0.912866;0.618087333333333;0.683078;0.539042087892415;1.59873214699976;-1.5954646928326;0.0720969148651281;-1.45462427058888;137;5f76f50e1dec7f1a73621afb;y;control;M;19
2020-10-22_10h48.53.717;0.555354;0.61897;0.533605;0.508539;-1.3935875976867;-0.379126905798808;-0.4073648718043;0.61762542999782;-1.4446268529216;139;5f302c9a37658a446406d5b5;y;control;M;27
2020-10-22_10h48.53.226;0.698487;0.530366;0.711524;0.672736;1.53126192202528;0.0566270681944998;-1.24802040330949;-2.21151051472683;-1.43462943525432;140;5eb1710b91dfaa0829d4e286;n;Name;M;23
2020-10-22_10h49.12.222;0.5576;0.6248;0.612;0.5672;-0.720902393630819;1.13797579429713;-1.62408558248916;-1.30918351563192;-1.42463201758705;141;5b7adf83c9bc650001ce14c0;y;control;F;30
2020-10-22_10h49.07.671;0.693;0.7252;0.659;0.6192;2.25756443130761;0.652574335227878;-0.211145472651311;0.524951975641766;-1.41463459991977;142;5f50e622dd6f012827c21ae7;y;Name;F;29
2020-10-22_10h49.09.192;0.78292;0.857796;0.753550666666667;0.796097;0.524583722332478;2.22289654774182;-0.0898726254187442;-2.17224211915684;-1.40463718225249;145;5db306ae679c65000bb4bb9a;y;control;M;31
2020-10-22_10h49.30.902;0.817358;0.681735;0.641728333333333;0.62753;0.459239161185103;1.03107964798086;0.744840994325154;0.182146448219534;-1.39463976458521;146;5f3ee367b8c23719e59725f3;y;Name;F;20
2020-10-22_10h49.21.544;0.647653;0.658649;0.651828333333333;0.633042;-0.814160214258369;-0.360018113493756;-1.48271169913741;-0.562480133754018;-1.38464234691794;147;5f73551b44ac2d04e468d0cd;y;control;M;21
2020-10-22_10h49.33.927;0.497982;0.545155;0.559112666666667;0.528124;-0.506794876966335;0.0155519169548941;0.967103635186262;1.72680647638871;-1.37464492925066;148;5efe403c122196324c8de118;y;Name;F;20
2020-10-22_10h49.23.921;0.682632;0.82347;0.634210333333333;0.608372;1.46800564864908;-1.05061687887053;0.34942460463312;0.671996961974597;-1.36464751158338;149;5f2b0ad2209c1b4ba545eb57;y;control;F;27
2020-10-22_10h49.40.638;0.879232;0.937706;0.699263333333333;0.841798;0.0594994002183007;0.310221813332172;0.660260961696732;-0.3538138380116;-1.3546500939161;150;5c41bfebf7c8890001d0947b;y;Name;F;34
2020-10-22_10h48.49.342;0.6486;0.9952;0.8002;0.6534;1.00183703419791;-0.447883278001852;0.690612234252317;1.01502137942388;-1.34465267624883;153;5e724d9eafe9d90680b0766a;y;control;F;18
2020-10-22_10h49.56.868;0.7624;1.020198;0.61936;0.748129;-0.563179653240339;-0.735102581488732;0.210667369482269;1.30363265796919;-1.33465525858155;154;5cad1eef8ed53d00180d2532;y;Name;F;20
2020-10-22_10h50.35.628;0.806668;1.060534;0.730491;0.771638;-0.97489130147276;-1.15241180503101;0.062550374317532;1.64343660774923;-1.32465784091427;155;58343680ff446c00014fb3e6;y;control;F;32
2020-10-22_10h50.32.867;0.614518;0.661859;0.538673333333333;0.590484;0.524530496147135;0.854235603826474;-1.9494851304433;-3.60526016683774;-1.31466042324699;157;5db21a3cad248e000dae8bc2;y;control;F;31
2020-10-22_10h50.33.704;0.5432;0.776;0.5218;0.681;1.09220313937659;-0.156428097566798;0.756906201824221;0.410409126739013;-1.30466300557972;158;5f5a89361b86c0167f59ecd3;y;Name;F;21
2020-10-22_10h50.35.231;0.738594;0.741504;0.751756;0.70103;0.742667044760359;-1.43011581257401;-0.0679079037296499;0.362078810935989;-1.29466558791244;159;5e9ec50dee2ccf0009319b7c;y;control;F;34
2020-10-22_10h53.07.608;0.6193060002;0.5409730002;0.543938666333333;0.5644330002;-1.60944971385872;-1.76477248250259;0.0300188032560118;-0.421816259587342;-1.28466817024516;160;5988055f631d0c000149a5ac;y;Name;M;35
2020-10-22_10h50.59.871;0.8362;0.7158;0.9022;1.1936;0.415541744250694;-0.031773859773784;0.38869512760747;-0.506658618619447;-1.27467075257788;163;5c6d21fafc2e7600015c0d2d;y;control;M;33
2020-10-22_10h50.43.846;0.987107;0.874764;0.575146;0.622126;0.625829318850273;0.944506679964149;0.743087678607838;-0.323092149520464;-1.26467333491061;164;5cd1d1f7db7024000195cc75;y;Name;M;33
2020-10-22_10h50.50.728;0.848402;1.029257;0.710210666666667;0.808822;0.128779970460259;0.788836775828049;-0.352785596974027;0.470822021597185;-1.25467591724333;166;5d41ee97dd6be8000172759d;y;Name;M;25
2020-10-22_10h51.14.282;0.832485;0.578759;0.621798333333333;0.618249;-0.335701809698481;0.859378930180096;-0.666949781688959;0.926335249721415;-1.24467849957605;167;5e84f0cb6418a70a5c4136de;y;control;F;22
2020-10-22_10h50.56.741;0.727996;0.737525;0.729021;0.696062;0.27879421959916;-1.04219521228103;0.682080075072078;-0.163706671682483;-1.23468108190877;168;5b004bb6293d310001022b36;y;Name;F;25
2020-10-22_10h51.11.536;0.750936;0.781559;0.699464666666667;0.678523;-0.327823956280734;-1.00645670178106;1.13586648978662;0.206138615611596;-1.2246836642415;169;5e8a17ca3cbd116b88361755;y;control;F;25
2020-10-22_10h51.20.881;0.77112;0.785057;0.818971333333333;0.777885;-1.81878420839454;-0.285436632463373;-0.584302152574108;0.334620206178281;-1.21468624657422;170;5dfcf9a12e47259f5bdcd77f;y;Name;M;31
2020-10-22_10h51.21.185;0.844;0.6708;0.654933333333333;0.7352;0.679410771237758;0.861521983152914;0.489334163104634;-0.64657488359369;-1.20468882890694;172;59f88f6eb47dfc0001b661ef;n;Name;F;28
2020-10-22_10h51.16.733;0.782071;0.965264;0.781459;0.703583;1.91399730955881;-1.3778704122834;0.888109280044028;0.547020369498933;-1.19469141123966;173;5ecfc174d37419029497dcd1;n;control;F;26
2020-10-22_10h51.22.516;0.621253;0.807678;0.654540333333333;0.751974;-0.893580725029975;-0.725057021763566;0.0478028590270979;-0.0921884013571486;-1.18469399357239;174;587144a7d6df7000018746d4;y;Name;F;31
2020-10-22_10h51.24.293;0.722374;0.83811;0.620402666666667;0.634276;0.182397192828214;2.13449534702453;-1.35651354346286;-0.632921569578727;-1.17469657590511;176;5db33578fc2558000e7eae2b;y;Name;M;27
2020-10-22_10h51.29.284;0.654155;0.678067;0.697370666666667;0.943516;0.816959278948779;0.281918284584816;-0.545036439570575;-0.614249265242365;-1.16469915823783;177;5e22eca151ff465a0894e675;y;control;F;20
2020-10-22_10h53.54.688;0.62062;0.720355;0.591483666666667;0.608696;-1.63215411526473;1.97644544849024;-2.6025205887364;0.487133577148708;-1.15470174057055;178;5ead37e98c0ee33cbbe5c14c;n;Name;M;34
2020-10-22_10h51.52.219;0.779712;0.822087;0.790781333333333;0.754563;-0.330279715009804;-0.332694027088122;-0.159095303479593;-0.456515796309301;-1.14470432290328;180;5ea1a229465d80069655f154;y;Name;F;28
2020-10-22_10h54.05.425;0.746758;0.661377;0.638436;0.603567;-0.088701122268647;0.82455432219259;-0.86529920353623;0.755970885962473;-1.134706905236;181;5f58e69c670dc40a0ee2dc7b;y;control;F;30
2020-10-22_10h52.02.762;0.659451;0.880561;0.644026333333333;0.631961;1.23486115710137;-1.01400629127849;1.88563436285158;1.16919516158265;-1.12470948756872;183;5f2ea9c0a638c92312e4ae5c;y;control;F;25
2020-10-22_10h52.16.104;0.771407;1.012715;0.877975333333333;0.766131;-0.503180324699904;-1.42297230317091;-0.39871214084867;0.742680049224514;-1.11471206990144;184;5e068e029195c605f9267aa7;y;Name;F;27
2020-10-22_10h52.25.611;0.574902;0.699979;0.575149;0.564405;0.902916270920019;1.6353426321753;-0.724857163429498;-0.265611167749778;-1.10471465223417;187;5f86d47f938a8502a4443f19;y;control;M;30
2020-10-22_10h52.30.154;0.565201;0.499818;0.530066;0.711459;-0.384499396474705;1.17637225278466;-0.816044567933438;-1.8429917266023;-1.09471723456689;188;5f2b0f0be865284c2b3fa91d;y;Name;M;18
2020-10-22_10h52.24.397;0.738637;0.789421;0.635349333333333;0.80689;0.797489387491065;1.1022583841986;-0.921209687208546;-1.51434559609524;-1.08471981689961;189;5b86a9ee8537510001e2e63f;y;control;F;33
