"","date","type","MeanRTtype","EscapeRT","FailureRT","NeutralRT","SuccessRT","Vnarc","Gnarc","ShameP","GuiltP","SelfComp","MeanSelfJudg","MeanSelfKind","MeanOveriden","MeanIsol","MeanCommhum","MeanMindf","participant","ProlifID","Genre","Age","CheckName","Cond"
"1","2020-10-22_10h45.29.004","reussite",0.5118,0.7332,0.875,0.708333333333333,0.5118,-0.598004490933302,-0.0407032459309513,0.772081929348072,0.622820865348195,0.035872957874811,2.5185185185,2.703703704,2.639506173,2.6,3.4641975305,2.703703704,100,"5f04c905e9d8627a4b790811","FEMALE",31,"n","Name"
"2","2020-10-22_10h45.40.991","reussite",0.641824,0.554891,0.895439,0.621146333333333,0.641824,0.397101410949404,0.188147167531827,1.05119800430223,-0.0645778204284232,-1.69176641565901,1.0121527775,1.8715277775,1.7348090275,1.4874131945,2.398871528,2.1319444445,101,"5f5a399e4775590a84ae3f14","FEMALE",23,"y","control"
"3","2020-10-22_10h45.41.110","reussite",0.887329,1.092991,1.053725,0.791331666666667,0.887329,-1.06908671055447,2.6527911990725,-3.9244611005425,-3.2554784426417,2.85593202005512,3.9944190765,4.9651615085,4.001183832,4.471334348,4.0282428545,4.9516319975,102,"5f8feb7e455ffe000b23a76a","MALE",24,"y","Name"
"4","2020-10-22_10h46.01.003","reussite",0.6508,0.7036,0.7764,0.685666666666667,0.6508,0.513739578629767,-1.25063514020443,0.206985757857576,-0.488534750315105,-1.14987339798913,2.495884774,1.0061728395,1.508230453,3.0041152265,1.5082304525,2.9938271605,103,"5eb12f8510e0ce205e7b25c7","FEMALE",33,"y","control"
"5","2020-10-22_10h45.44.597","reussite",0.498425,0.582627,0.53844,0.496363333333333,0.498425,0.351040112614148,0.694049940815161,-0.373301741165739,0.537293197483719,-0.397003798753445,2.2369309415,2.545206404,1.946846065,2.0977623455,3.291280864,3.010021219,104,"5bfb295e975ee0000169a15d","MALE",27,"y","Name"
"6","2020-10-22_10h46.54.694","reussite",0.739871,0.757205,0.672542,0.657343333333333,0.739871,0.296710315730655,-0.373462421401493,0.399739962174837,0.716589230005966,0.220719485021242,2.493634259,3.0028935185,2.2390046295,3.2372685185,2.9855324075,3.3125,105,"5f11ae10e3411a04c189ae61","FEMALE",18,"y","control"
"7","2020-10-22_10h46.04.633","reussite",0.604132,0.608063,0.672966,0.584467666666667,0.604132,-0.384424201810267,-0.630879897305911,1.41998316053594,1.86264072667066,-1.72117002637742,1.527199074,2.030671296,1.009259259,1.5127314815,2.482060185,1.9728009255,106,"5f36f1a0cca76a1549baf6dc","FEMALE",35,"y","Name"
"8","2020-10-22_10h47.07.985","reussite",1.084779,1.03029,1.254333,0.908113666666667,1.084779,0.0931155967946918,-1.22125743385898,0.969166819145631,-0.752055686295267,-0.288175708198812,2.485185072,3.507407464,2.005555386,2.014814589,2.996296522,2.4962964375,108,"5e642059211a831a2b490c06","FEMALE",25,"n","Name"
"9","2020-10-22_10h46.28.199","reussite",0.517743,0.470094,0.543082,0.477709,0.517743,2.26262507984602,-0.804165738608959,3.03512914601657,0.979498638848214,-2.98514057189069,1.024691358,1.0205761945,1.022633745,1.037037163,1.0246914365,1.020576116,110,"5e7a223904bdd105201a9a0e","FEMALE",22,"y","Name"
"10","2020-10-22_10h48.54.697","reussite",0.99585,0.895586,1.172297,0.729093666666667,0.99585,0.0230704536506997,1.97092014463568,0.88552548517831,1.03177463034186,-1.41086809386425,2.189814815,1.940972222,1.5329861115,1.8194444445,2.6643518515,1.4635416665,111,"5efb04364c2ee780008501","FEMALE",33,"n","control"
"11","2020-10-22_10h46.46.865","reussite",0.654371,0.754115,0.999811,0.651480666666667,0.654371,-1.31717184242372,0.0559852689462099,-0.552175022077385,-0.382736668121133,-0.198855439331574,3.503472222,2.9131944445,1.9380787035,1.9814814815,1.987268519,3.491898148,113,"5a799309f49c9a0001f31396","FEMALE",23,"y","control"
"12","2020-10-22_10h47.23.656","reussite",0.609626,0.542363,0.526987,0.547215,0.609626,0.0573111395810175,1.19668013370545,-0.406861903591801,-0.223304071658465,0.815073998813167,2.9487185845,3.214310516,2.8232804235,2.615104167,3.688004299,4.0431382275,114,"5d4e97553ffde500189ad8a2","MALE",24,"y","Name"
"13","2020-10-22_10h46.56.539","reussite",0.683368,0.755062,0.791844,0.725970666666667,0.683368,-1.59076369781757,0.515791478669621,-0.118927343772019,0.383679252656363,0.957878427361826,1.5011959875,3.8864872685,2.672810571,3.234857253,3.986844136,4.5457272375,117,"5ee3a3d3e1640f03812e4c26","FEMALE",19,"y","control"
"14","2020-10-22_10h47.01.624","reussite",0.667078,0.628176,0.678265,0.629098666666667,0.667078,0.598081386942696,-0.0210583642555981,0.595031855721083,-0.916257908367682,-0.723977562786688,2.6296294415,2.041152389,1.930040901,1.8271603055,2.325103006,3.240740929,118,"5bfd5f1332576700017d16f4","MALE",21,"y","Name"
"15","2020-10-22_10h47.13.842","reussite",0.640614,0.659427,0.809739,0.627026666666667,0.640614,-0.0727261280994361,-0.172509938296426,-0.561706865410656,0.353787942635005,-0.719798403983868,2.0103453195,2.506837424,2.001022641,2.0094534815,3.000416191,2.4802487635,121,"5f2d915001cfa107181b01d3","FEMALE",21,"y","control"
"16","2020-10-22_10h47.19.763","reussite",0.6533,0.602685,0.792914,0.595182333333333,0.6533,0.281799963700318,-1.13901770507327,0.0306012406515807,0.170570081373324,-0.791005691917584,1.335390758,1.055555634,1.5802469135,4.269547262,2.343621446,3.176954858,122,"5ee0ebf4507994478d9e69c8","FEMALE",31,"y","Name"
"17","2020-10-22_10h47.16.734","reussite",0.653266,0.563579,0.729948,0.601606,0.653266,-0.694402533525902,0.190223250316228,-1.38606939605953,-0.836232671891993,0.878389971739433,2.535503472,3.829050926,2.6088734565,2.535021219,4.048244599,3.995495756,123,"5ee3f235c53c280e4261bcc3","MALE",21,"y","control"
"18","2020-10-22_10h47.31.354","reussite",0.6325,0.648787,0.677197,0.575899666666667,0.6325,-0.552459974114144,-1.14544696554029,0.637097826539069,-0.0811101867078816,0.586097229953099,2.7456790125,2.713580247,3.464197531,3.9086419755,3.982716049,1.7234567905,124,"5acca930a3ba7a0001b500fa","FEMALE",35,"y","Name"
"19","2020-10-22_10h48.14.922","reussite",0.6696,0.7958,0.9604,0.744,0.6696,0.332291969980549,0.337260948845298,0.328603739397201,-0.0734981616637285,0.29746082317586,3.564236111,2.5515046295,3.4311342595,3.775462963,2.2939814815,1.9207175925,125,"5e25b2ac26d974818086e0ee","FEMALE",34,"y","control"
"20","2020-10-22_10h47.55.245","reussite",0.93288,0.815756,0.728576,0.71429,0.93288,-2.26174332384893,0.0532311112953417,-0.409004013091756,0.762479431391908,1.01672457531521,4.0071469905,3.5118055555,3.987432485,3.00466821,2.479523534,3.0414737655,127,"5e7949a8dafa1e04a1ce49ce","FEMALE",18,"y","control"
"21","2020-10-22_10h47.56.232","reussite",0.663245,0.631044,0.715821,0.648652666666667,0.663245,-0.68331009411306,-0.915783140107582,-0.121156070625287,0.997622465812737,-0.519333940033497,2.3991769545,2.12962963,2.008230453,2.5061728395,2.7098765435,2.950617284,128,"5f88a9e10b3478081e131706","FEMALE",31,"y","Name"
"22","2020-10-22_11h48.24.401","reussite",0.870303,0.842713,0.658407,0.670896666666667,0.870303,0.634029333246938,0.0694445526622949,0.775528678064569,1.1512632348934,0.622504905688667,2.259448283,3.7944816675,2.108127443,2.9129618,3.901207426,3.688337521,130,"5df8fbb81e2e5867a6920ff8","FEMALE",25,"y","Name"
"23","2020-10-22_10h48.12.442","reussite",0.950748,0.91467,0.983433,0.714277333333333,0.950748,0.725196503172449,1.0317163246686,0.855948005732147,-0.267423444034474,-0.0987766688706025,2.5802467255,3.4176955985,1.763374423,2.234567713,3.413580247,2.7530864195,131,"5f5a25a24b1d54080b15dd85","FEMALE",31,"y","control"
"24","2020-10-22_10h49.11.680","reussite",0.493967,0.680538,0.54383,0.555957666666667,0.493967,-0.616509774896143,1.57762809957104,-0.751571726929338,-0.889060916600142,1.08663426585148,3.838589892,3.3578993055,3.3160590275,2.8236882715,3.9392746915,2.999045139,132,"5f455aa2de4a9712a5cfbb6f","FEMALE",27,"y","Name"
"25","2020-10-22_10h48.25.405","reussite",0.616223,0.584711,0.892646,0.632112,0.616223,1.12864327110825,-0.85313791167693,0.498020270488399,1.03517285589251,-0.899537221830671,2.207175926,3.0086805555,1.119212963,1.5532407405,2.499421296,2.9971064815,133,"5f5f66b2c050a00169ba939c","FEMALE",30,"y","control"
"26","2020-10-22_10h48.24.644","reussite",0.601943,0.705631,0.713846,0.771599,0.601943,-0.62378596866961,-0.18899188468029,-0.0199515825346522,0.195077369078975,0.722477058631903,3.4265565875,3.541222337,2.0024079805,2.665176012,3.341703933,4.034285059,134,"5c707693db12e3000146b16d","MALE",29,"y","Name"
"27","2020-10-22_10h50.15.472","reussite",1.4386,1.3122,1.3168,0.963666666666667,1.4386,-1.19650001106363,1.40968048168962,-0.398917296800488,-0.834027055719508,0.843614975092884,2.5396982715,4.3148331685,3.3435744965,2.6366038985,2.6167822925,3.9800682745,136,"5d332ea34007ad00199c3713","FEMALE",32,"y","Name"
"28","2020-10-22_10h48.35.712","reussite",0.683078,0.746348,0.912866,0.618087333333333,0.683078,0.539042087892415,1.59873214699976,-1.5954646928326,0.0720969148651281,-0.099962917923092,2.965020576,2.901234568,1.4855967075,1.8312757205,3.5,3.475308642,137,"5f76f50e1dec7f1a73621afb","MALE",19,"y","control"
"29","2020-10-22_10h48.53.717","reussite",0.508539,0.555354,0.61897,0.533605,0.508539,-1.3935875976867,-0.379126905798808,-0.4073648718043,0.61762542999782,2.0046033644642,3.995884648,4.4876545095,3.5020574875,3.4917694845,3.987654321,3.9938271605,139,"5f302c9a37658a446406d5b5","MALE",27,"y","control"
"30","2020-10-22_10h48.53.226","reussite",0.672736,0.698487,0.530366,0.711524,0.672736,1.53126192202528,0.0566270681944998,-1.24802040330949,-2.21151051472683,-0.863965572819774,2.5102880655,1.098765432,2.24691358,2.5061728395,1.6543209875,3.491769547,140,"5eb1710b91dfaa0829d4e286","MALE",23,"n","Name"
"31","2020-10-22_10h49.12.222","reussite",0.5672,0.5576,0.6248,0.612,0.5672,-0.720902393630819,1.13797579429713,-1.62408558248916,-1.30918351563192,-0.568448396723437,2,3.012345679,1.997530864,2.0049382715,2.503703704,3.0148148145,141,"5b7adf83c9bc650001ce14c0","FEMALE",30,"y","control"
"32","2020-10-22_10h49.07.671","reussite",0.6192,0.693,0.7252,0.659,0.6192,2.25756443130761,0.652574335227878,-0.211145472651311,0.524951975641766,-1.35214428725631,1.335802469,1.4592592595,2.8074074075,1.461728395,1.5555555555,3.1950617285,142,"5f50e622dd6f012827c21ae7","FEMALE",29,"y","Name"
"33","2020-10-22_10h49.09.192","reussite",0.796097,0.78292,0.857796,0.753550666666667,0.796097,0.524583722332478,2.22289654774182,-0.0898726254187442,-2.17224211915684,0.821822993239721,2.520576226,2.962963057,2.956790155,2.9609051615,3.979423994,3.9753088305,145,"5db306ae679c65000bb4bb9a","MALE",31,"y","control"
"34","2020-10-22_10h49.30.902","reussite",0.62753,0.817358,0.681735,0.641728333333333,0.62753,0.459239161185103,1.03107964798086,0.744840994325154,0.182146448219534,0.15117488660951,2.7716076105,3.027820732,2.1786798095,2.3398570275,3.149703312,3.5619255025,146,"5f3ee367b8c23719e59725f3","FEMALE",20,"y","Name"
"35","2020-10-22_10h49.21.544","reussite",0.633042,0.647653,0.658649,0.651828333333333,0.633042,-0.814160214258369,-0.360018113493756,-1.48271169913741,-0.562480133754018,0.199587812258727,2.4814814815,2.7876543205,2.4567901235,2.987654321,3.261728395,3.2222222225,147,"5f73551b44ac2d04e468d0cd","MALE",21,"y","control"
"36","2020-10-22_10h49.33.927","reussite",0.528124,0.497982,0.545155,0.559112666666667,0.528124,-0.506794876966335,0.0155519169548941,0.967103635186262,1.72680647638871,-0.771431161833112,2.952674834,2.351851852,1.3251026925,2.065843433,1.917695505,3.2160495395,148,"5efe403c122196324c8de118","FEMALE",20,"y","Name"
"37","2020-10-22_10h49.23.921","reussite",0.608372,0.682632,0.82347,0.634210333333333,0.608372,1.46800564864908,-1.05061687887053,0.34942460463312,0.671996961974597,-0.964804432019696,2.12345679,2.1975308645,1.0164609055,1.057613169,2.732510288,4.0308641975,149,"5f2b0ad2209c1b4ba545eb57","FEMALE",27,"y","control"
"38","2020-10-22_10h49.40.638","reussite",0.841798,0.879232,0.937706,0.699263333333333,0.841798,0.0594994002183007,0.310221813332172,0.660260961696732,-0.3538138380116,-1.21927433296445,1.7921809445,2.8065844875,1.615226086,1.666666478,2.08230459,2.312757327,150,"5c41bfebf7c8890001d0947b","FEMALE",34,"y","Name"
"39","2020-10-22_10h48.49.342","reussite",0.6534,0.6486,0.9952,0.8002,0.6534,1.00183703419791,-0.447883278001852,0.690612234252317,1.01502137942388,-0.240306883606676,2.1160493825,2.614814815,1.888888889,1.960493827,3.4740740745,3.617283951,153,"5e724d9eafe9d90680b0766a","FEMALE",18,"y","control"
"40","2020-10-22_10h49.56.868","reussite",0.748129,0.7624,1.020198,0.61936,0.748129,-0.563179653240339,-0.735102581488732,0.210667369482269,1.30363265796919,-0.374860029930023,1.0642361115,3.564236111,1.0121527775,1.515625,3.570023148,4.478587963,154,"5cad1eef8ed53d00180d2532","FEMALE",20,"y","Name"
"41","2020-10-22_10h50.35.628","reussite",0.771638,0.806668,1.060534,0.730491,0.771638,-0.97489130147276,-1.15241180503101,0.062550374317532,1.64343660774923,-1.99929248077794,1.2613167465,1.325103006,1.59465008,1.1893003485,1.222222222,2.9773665065,155,"58343680ff446c00014fb3e6","FEMALE",32,"y","control"
"42","2020-10-22_10h50.32.867","reussite",0.590484,0.614518,0.661859,0.538673333333333,0.590484,0.524530496147135,0.854235603826474,-1.9494851304433,-3.60526016683774,-0.0866996417237586,2.2355555555,2.331555556,2.5911111115,2.729777778,3.704,2.6124444445,157,"5db21a3cad248e000dae8bc2","FEMALE",31,"y","control"
"43","2020-10-22_10h50.33.704","reussite",0.681,0.5432,0.776,0.5218,0.681,1.09220313937659,-0.156428097566798,0.756906201824221,0.410409126739013,-0.248848528442681,2.274074074,2.925925926,2.2222222225,1.9802469135,3.286419753,2.9530864195,158,"5f5a89361b86c0167f59ecd3","FEMALE",21,"y","Name"
"44","2020-10-22_10h50.35.231","reussite",0.70103,0.738594,0.741504,0.751756,0.70103,0.742667044760359,-1.43011581257401,-0.0679079037296499,0.362078810935989,0.16518396609566,2.2613168725,3.9115226335,2.012345679,2.195473251,3.3703703705,3.327160494,159,"5e9ec50dee2ccf0009319b7c","FEMALE",34,"y","control"
"45","2020-10-22_10h53.07.608","reussite",0.5644330002,0.6193060002,0.5409730002,0.543938666333333,0.5644330002,-1.60944971385872,-1.76477248250259,0.0300188032560118,-0.421816259587342,1.57453678637585,4.3020833335,3.2199074075,4.0185185185,2.9247685185,3.4745370375,4.0271990745,160,"5988055f631d0c000149a5ac","MALE",35,"y","Name"
"46","2020-10-22_10h50.59.871","reussite",1.1936,0.8362,0.7158,0.9022,1.1936,0.415541744250694,-0.031773859773784,0.38869512760747,-0.506658618619447,-0.152161856953974,1.5164609055,3.010288066,1.2736625515,2.197530864,3.572016461,4.4074074075,163,"5c6d21fafc2e7600015c0d2d","MALE",33,"y","control"
"47","2020-10-22_10h50.43.846","reussite",0.622126,0.987107,0.874764,0.575146,0.622126,0.625829318850273,0.944506679964149,0.743087678607838,-0.323092149520464,0.160271779012451,2.396749614,3.7808449075,2.6224151235,1.3913387345,3.087172068,3.782629244,164,"5cd1d1f7db7024000195cc75","MALE",33,"y","Name"
"48","2020-10-22_10h50.50.728","reussite",0.808822,0.848402,1.029257,0.710210666666667,0.808822,0.128779970460259,0.788836775828049,-0.352785596974027,0.470822021597185,-0.737027243023359,2.092592593,3.62962963,1.6748971195,1.549382716,2.1275720165,2.8744855965,166,"5d41ee97dd6be8000172759d","MALE",25,"y","Name"
"49","2020-10-22_10h51.14.282","reussite",0.618249,0.832485,0.578759,0.621798333333333,0.618249,-0.335701809698481,0.859378930180096,-0.666949781688959,0.926335249721415,0.419653794393723,3.938271605,4.0061728395,2.4773662555,1.9547325105,2.3353909465,3.248971193,167,"5e84f0cb6418a70a5c4136de","FEMALE",22,"y","control"
"50","2020-10-22_10h50.56.741","reussite",0.696062,0.727996,0.737525,0.729021,0.696062,0.27879421959916,-1.04219521228103,0.682080075072078,-0.163706671682483,-0.560500590700698,2.568853717,2.435618254,1.544529335,1.7831270145,3.0670792855,3.1616954235,168,"5b004bb6293d310001022b36","FEMALE",25,"y","Name"
"51","2020-10-22_10h51.11.536","reussite",0.678523,0.750936,0.781559,0.699464666666667,0.678523,-0.327823956280734,-1.00645670178106,1.13586648978662,0.206138615611596,-1.14238497732881,2.4913953995,1.969780816,1.024197049,1.520377604,3.521495226,2.015190972,169,"5e8a17ca3cbd116b88361755","FEMALE",25,"y","control"
"52","2020-10-22_10h51.20.881","reussite",0.777885,0.77112,0.785057,0.818971333333333,0.777885,-1.81878420839454,-0.285436632463373,-0.584302152574108,0.334620206178281,2.04778476909363,4.588302951,4.4890625,4.0002278645,4.2331054685,2.285481771,4.0124565975,170,"5dfcf9a12e47259f5bdcd77f","MALE",31,"y","Name"
"53","2020-10-22_10h51.21.185","reussite",0.7352,0.844,0.6708,0.654933333333333,0.7352,0.679410771237758,0.861521983152914,0.489334163104634,-0.64657488359369,0.118442188694998,2.6,3.0913580245,2.1580246915,2.2,3.777777778,3.0888888885,172,"59f88f6eb47dfc0001b661ef","FEMALE",28,"n","Name"
"54","2020-10-22_10h51.16.733","reussite",0.703583,0.782071,0.965264,0.781459,0.703583,1.91399730955881,-1.3778704122834,0.888109280044028,0.547020369498933,-2.20951592202981,1.214336009,1.594564146,1.2002534855,1.1016758205,1.436839882,2.293057316,173,"5ecfc174d37419029497dcd1","FEMALE",26,"n","control"
"55","2020-10-22_10h51.22.516","reussite",0.751974,0.621253,0.807678,0.654540333333333,0.751974,-0.893580725029975,-0.725057021763566,0.0478028590270979,-0.0921884013571486,0.862176973957027,2.936342593,2.9913194445,3.538194444,3.028935185,3.734953704,3.2662037035,174,"587144a7d6df7000018746d4","FEMALE",31,"y","Name"
"56","2020-10-22_10h51.24.293","reussite",0.634276,0.722374,0.83811,0.620402666666667,0.634276,0.182397192828214,2.13449534702453,-1.35651354346286,-0.632921569578727,0.3033925210387,2.534979424,2.353909465,2.462962963,2.9567901235,3.411522634,3.83744856,176,"5db33578fc2558000e7eae2b","MALE",27,"y","Name"
"57","2020-10-22_10h51.29.284","reussite",0.943516,0.654155,0.678067,0.697370666666667,0.943516,0.816959278948779,0.281918284584816,-0.545036439570575,-0.614249265242365,0.141289419606103,2.5080439815,2.9985821755,2.000347222,1.9976080245,3.999353781,3.49136767,177,"5e22eca151ff465a0894e675","FEMALE",20,"y","control"
"58","2020-10-22_10h53.54.688","reussite",0.608696,0.62062,0.720355,0.591483666666667,0.608696,-1.63215411526473,1.97644544849024,-2.6025205887364,0.487133577148708,2.67903743921604,4.9465020265,3.98148167,4.907407313,4.5164608425,2.5061728395,4.940329281,178,"5ead37e98c0ee33cbbe5c14c","MALE",34,"n","Name"
"59","2020-10-22_10h51.52.219","reussite",0.754563,0.779712,0.822087,0.790781333333333,0.754563,-0.330279715009804,-0.332694027088122,-0.159095303479593,-0.456515796309301,-1.5211977512281,1.810699463,1.862139949,1.761316747,1.6296294415,1.995884836,2.1687243425,180,"5ea1a229465d80069655f154","FEMALE",28,"y","Name"
"60","2020-10-22_10h54.05.425","reussite",0.603567,0.746758,0.661377,0.638436,0.603567,-0.088701122268647,0.82455432219259,-0.86529920353623,0.755970885962473,1.99214683563593,4.3127572015,4.2572016465,3.0061728395,1.9753086415,4.9917695475,4.8724279835,181,"5f58e69c670dc40a0ee2dc7b","FEMALE",30,"y","control"
"61","2020-10-22_10h52.02.762","reussite",0.631961,0.659451,0.880561,0.644026333333333,0.631961,1.23486115710137,-1.01400629127849,1.88563436285158,1.16919516158265,-0.121910248951213,2.012345679,2.0288065685,3.008230327,1.5102880345,4.016460937,3.506172808,183,"5f2ea9c0a638c92312e4ae5c","FEMALE",25,"y","control"
